CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
BIOMEDICINA,8,550-600,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ANÁLISES CLÍNICAS, IMAGENOLOGIA, TOXICOLOGIA, REPRODUÇÃO HUMANA, PESQUISA","4.500,00-6.500,00",1-5,CRATO,EAD,TURNO LIVRE,"Focado na investigação de doenças humanas, exames laboratoriais e pesquisas biológicas.",Biomedicina - GRUPO FATECIE,Saúde
PSICOLOGIA,10,600-650,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"PSICOLOGIA CLÍNICA, ORGANIZACIONAL (RH), ESCOLAR, HOSPITALAR, JURÍDICA","3.200,00-4.500,00",1-5,CRATO,EAD,TURNO LIVRE,"Estuda o comportamento humano, os processos mentais e as emoções para acolhimento e diagnóstico.",Psicologia - GRUPO FATECIE,Saúde
ODONTOLOGIA,10,620-680,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"CLÍNICA GERAL, ORTODONTIA, IMPLANTODONTIA, CIRURGIA, SAÚDE COLETIVA","3.000,00-4.200,00",1-3,CRATO,EAD,TURNO LIVRE,"Dedicado à saúde bucal, envolvendo a prevenção, diagnóstico e tratamento de problemas dentários.",Odontologia - GRUPO FATECIE,Saúde
EDUCAÇÃO FÍSICA,8,450-520,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"TRAINAMENTO FUNCIONAL, ACADEMIAS, RECREAÇÃO, PREPARAÇÃO FÍSICA, DOCÊNCIA","2.400,00-3.500,00",10-20,CRATO,EAD,TURNO LIVRE,"Focado na promoção da saúde, do bem-estar e do desempenho físico por meio de atividades corporais.",Educação Física – Bacharelado - GRUPO FATECIE,Saúde
ENGENHARIA CIVIL,10,500-560,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"CONSTRUÇÃO CIVIL, INFRAESTRUTURA, SANEAMENTO, CÁLCULO ESTRUTURAL","6.500,00-9.500,00",5-10,CRATO,EAD,TURNO LIVRE,"Capacita para o planejamento, projeto, execução e manutenção de obras de infraestrutura.",Engenharia Civil - GRUPO FATECIE,Exatas & Engenharias
CIÊNCIAS CONTÁBEIS,8,450-530,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"AUDITORIA, PERÍCIA CONTÁBIL, CONTROLADORIA, PLANEJAMENTO TRIBUTÁRIO","4.000,00-6.000,00",15-30,CRATO,EAD,TURNO LIVRE,"Estuda a administração financeira, focando no registro, controle e análise de contas e tributos.",Ciências Contábeis - GRUPO FATECIE,Negócios & Gestão
ENFERMAGEM,10,580-640,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ASSISTÊNCIA HOSPITALAR (UTI), SAÚDE DA FAMÍLIA, AUDITORIA, HOME CARE","3.800,00-5.000,00",5-12,CRATO,EAD,TURNO LIVRE,"Voltado para a arte do cuidar, preparando para prestar assistência direta a pacientes e gerenciar equipes.",Enfermagem - GRUPO FATECIE,Saúde
FISIOTERAPIA,10,560-620,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"FISIOTERAPIA ORTOPÉDICA, RESPIRATÓRIA, ESPORTIVA, NEUROFUNCIONAL, PILATES","3.000,00-4.200,00",3-8,CRATO,EAD,TURNO LIVRE,Focado na prevenção e reabilitação de distúrbios do movimento humano decorrentes de traumas ou doenças.,https://site.unifatecie.edu.br/curso/fisioterapia/,Saúde
ENGENHARIA DE SOFTWARE,8,510-570,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ARQUITETURA DE SISTEMAS, PLATAFORMAS, GESTÃO DE TI, REQUISITOS, TESTES","6.500,00-11.000,00",10-25,CRATO,EAD,TURNO LIVRE,"Dedicado à criação, desenvolvimento, manutenção e teste de programas e sistemas computacionais.",https://site.unifatecie.edu.br/curso/engenharia-de-software/,Tecnologia & TI
DIREITO,10,600-660,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ADVOCACIA PRIVADA, ASSESSORIA JURÍDICA EMPRESARIAL, CARREIRA PÚBLICA","4.500,00-7.500,00",2-5,CRATO,EAD,TURNO LIVRE,"Estuda o conjunto de leis e normas que regem a sociedade, preparando para a aplicação da justiça.",https://site.unifatecie.edu.br/curso/direito-noturno/,Humanas & Educação
