CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ADMINISTRAÇÃO,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GESTÃO DE EMPRESAS, FINANÇAS, RH, LOGÍSTICA, CONSULTORIA","3.500,00-6.000,00",15-30,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado em planejamento estratégico, gestão financeira, liderança e operação de empresas.",https://www.unopar.com.br/curso/administracao/,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"DESENVOLVIMENTO DE SOFTWARES, APLICATIVOS, BANCO DE DADOS","4.500,00-8.500,00",20-40,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado na criação, testes, manutenção e gerenciamento de sistemas de informação e aplicativos.",https://www.unopar.com.br/curso/analise-e-desenvolvimento-de-sistemas/,Tecnologia & TI
ARQUITETURA DE DADOS,6,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ANÁLISE DE DADOS MASSIVOS, BUSINESS INTELLIGENCE (BI), SEGURANÇA","6.000,00-12.000,00",5-15,BARBALHA,EAD,FLEXÍVEL,"Especializado em modelagem, estruturação, governança e integração de grandes volumes de dados.",https://www.unopar.com.br/curso/arquitetura-de-dados/,Tecnologia & TI
ARQUITETURA E URBANISMO,10,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"PROJETOS RESIDENCIAIS, URBANISMO, PAISAGISMO, RESTAURO","4.000,00-7.500,00",10-20,BARBALHA,SEMIPRESENCIAL,NOTURNO,"Focado no planejamento urbano, paisagismo, conforto ambiental e projetos de edificações.",https://www.unopar.com.br/curso/arquitetura-e-urbanismo/,Humanas & Educação
ARTES VISUAIS,8,450,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"DOCÊNCIA EM ESCOLAS, CURSINHOS, OFICINAS, PROJETOS CULTURAIS","2.200,00-3.800,00",5-15,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado no ensino de artes, história da arte e desenvolvimento de projetos culturais.",https://www.unopar.com.br/curso/artes-visuais/,Humanas & Educação
BIOMEDICINA,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"LABORATÓRIOS DE ANÁLISES CLÍNICAS, PESQUISAS, DIAGNÓSTICOS","3.800,00-5.500,00",15-25,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado em análises laboratoriais, pesquisa de doenças, vacinas e diagnósticos clínicos.",https://www.unopar.com.br/curso/biomedicina/,Saúde
"BLOCKCHAIN, CRIPTOMOEDAS E FINANÇAS NA ERA DIGITAL",6,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"MERCADO FINANCEIRO DIGITAL, CORRETORAS DE CRIPTO, COMPLIANCE","5.000,00-10.000,00",5-10,BARBALHA,EAD,FLEXÍVEL,"Especializado em criptoativos, contratos inteligentes e tecnologias de registro distribuído.",https://www.unopar.com.br/curso/blockchain-criptomoedas-e-financas/,Tecnologia & TI
CIÊNCIAS CONTÁBEIS,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"PLANEJAMENTO TRIBUTÁRIA, AUDITORIA, PERÍCIA, CONTROLADORIA","3.800,00-6.000,00",15-30,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado no controle financeiro, escrituração fiscal, auditoria e cumprimento de leis tributárias.",https://www.unopar.com.br/curso/ciencias-contabeis/,Negócios & Gestão
DESENVOLVIMENTO MOBILE,5,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,DESENVOLVIMENTO DE APLICATIVOS E ENGENHARIA DE SOFTWARE,"5.000,00-9.000,00",10-20,BARBALHA,EAD,FLEXÍVEL,Especializado em engenharia de software voltada exclusivamente para plataformas móveis (iOS/Android).,https://www.unopar.com.br/curso/desenvolvimento-mobile/,Tecnologia & TI
DESENVOLVIMENTO WEB,5,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CRIAÇÃO DE SITES, E-COMMERCE, FRONT-END, ARQUITETURA WEB","4.500,00-8.000,00",10-20,BARBALHA,EAD,FLEXÍVEL,"Focado no desenvolvimento de sites, portais, e-commerce e sistemas baseados em navegadores.",https://www.unopar.com.br/curso/desenvolvimento-web/,Tecnologia & TI
