CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
ADMINISTRAÇÃO,8,N/A,VESTIBULAR ONLINE,BACHARELADO,N/A,"GESTÃO DE EMPRESAS, PLANEJAMENTO FINANCEIRO, LOGÍSTICA, RECURSOS HUMANOS","3.900,00",N/A,CRATO,EAD,TURNO LIVRE,"Formação ampla e estratégica para gerir empresas públicas ou privadas. O aluno aprende sobre planejamento financeiro, marketing, recursos humanos, logística e tomada de decisões corporativas.",https://www.unip.br/cursos/graduacao/tradicionais/administracao.aspx,Negócios & Gestão
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"CRIAÇÃO DE SOFTWARES, SITES, SISTEMAS E APLICATIVOS PARA CELULAR","7.000,00",N/A,CRATO,EAD,TURNO LIVRE,"Curso focado na criação, desenvolvimento, testes e manutenção de softwares, aplicativos e sistemas computacionais para empresas.",https://www.unip.br/cursos/graduacao/tecnologicos/analise_desenvolvimento_sistemas.aspx,Tecnologia & TI
CIÊNCIA DA COMPUTAÇÃO,8,N/A,VESTIBULAR ONLINE,BACHARELADO,N/A,"DESENVOLVIMENTO DE ALGORITMOS, INTELIGÊNCIA ARTIFICIAL, SISTEMAS DE ALTA COMPLEXIDADE","7.000,00",N/A,CRATO,EAD,TURNO LIVRE,"Formação mais teórica e aprofundada sobre os fundamentos da computação. Envolve o desenvolvimento de algoritmos complexos, arquitetura de computadores, inteligência artificial e criação de novas tecnologias.",https://www.unip.br/cursos/graduacao/tradicionais/ciencia_computacao.aspx,Tecnologia & TI
CIÊNCIAS CONTÁBEIS,8,N/A,VESTIBULAR ONLINE,BACHARELADO,N/A,"ABERTURA DE EMPRESAS, AUDITORIA, PERÍCIA E CONTROLE DE IMPOSTOS (ÁREA FISCAL)","5.000,00",N/A,CRATO,EAD,TURNO LIVRE,"Capacita o profissional a registrar e analisar os dados financeiros, fiscais e patrimoniais de uma empresa, sendo essencial para o cumprimento de obrigações legais e planeamento tributário.",https://www.unip.br/cursos/graduacao/tradicionais/ciencias_contabeis.aspx,Negócios & Gestão
CIÊNCIAS ECONÔMICAS,8,N/A,VESTIBULAR ONLINE,BACHARELADO,N/A,"ANÁLISE DE MERCADO FINANCEIRO, VIABILIDADE DE INVESTIMENTOS E CENÁRIOS ECONÔMICOS","6.000,00",N/A,CRATO,EAD,TURNO LIVRE,"Estudo de como as sociedades produzem, distribuem e consomem bens e serviços. Analisa mercados financeiros, inflação, políticas públicas e cenários económicos globais e locais.",https://www.unip.br/cursos/graduacao/tradicionais/ciencias_economicas.aspx,Negócios & Gestão
COMÉRCIO EXTERIOR,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"PROCESSOS DE IMPORTAÇÃO/EXPORTAÇÃO, LOGÍSTICA INTERNACIONAL E CONTRATOS GLOBAIS","3.500,00",N/A,CRATO,EAD,TURNO LIVRE,"Direcionado a operações de compra e venda de produtos e serviços entre diferentes países. Trata de legislação internacional, alfândega, logística internacional e câmbio.",https://www.unip.br/cursos/graduacao/tecnologicos/comercio_exterior.aspx,Negócios & Gestão
DESIGN DE INTERIORES,5,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"PLANEJAMENTO, DECORAÇÃO E OTIMIZAÇÃO DE AMBIENTES RESIDENCIAIS E COMERCIAIS","2.888,00",N/A,CRATO,EAD,TURNO LIVRE,"Planeamento e organização de espaços residenciais e comerciais, unindo estética, conforto, ergonomia, funcionalidade e aproveitamento de ambientes internos.",https://www.unip.br/cursos/graduacao/tecnologicos/design_interiores.aspx,Humanas & Educação
EMPREENDEDORISMO,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"CRIAÇÃO DE STARTUPS, CONSULTORIA DE INOVAÇÃO E GESTÃO DE NOVOS NEGÓCIOS","5.230,00",N/A,CRATO,EAD,TURNO LIVRE,"Capacita o aluno a criar novos negócios ou inovar dentro de empresas já existentes, focando na identificação de oportunidades de mercado, planos de negócios e gestão de riscos.",https://www.unip.br/cursos/graduacao/tecnologicos/empreendedorismo.aspx,Negócios & Gestão
GASTRONOMIA,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"CHEF DE COZINHA, GESTÃO DE RESTAURANTES, CRIAÇÃO DE CARDÁPIOS E EVENTOS CULINÁRIOS","2.000,00",N/A,CRATO,EAD,TURNO LIVRE,"Ensina técnicas culinárias nacionais e internacionais, panificação, confeitaria, além da gestão de cozinhas, controlo de stock e segurança alimentar em restaurantes.",https://www.unip.br/cursos/graduacao/tecnologicos/gastronomia.aspx,Humanas & Educação
GESTÃO COMERCIAL,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"GERENCIAMENTO DE EQUIPES DE VENDAS, ATENDIMENTO AO CLIENTE E SUPERVISÃO DE LOJAS","7.095,00",N/A,CRATO,EAD,TURNO LIVRE,"Voltado para a área de vendas. Ensina a definir estratégias comerciais, gerir equipas de vendedores, estudar o comportamento do consumidor e aumentar a faturação.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_comercial.aspx,Negócios & Gestão
GESTÃO DA QUALIDADE,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"AUDITORIA DE PROCESSOS, APLICAÇÃO DE NORMAS ISO E CONTROLE DE PADRÕES INDUSTRIAIS","3.900,00",N/A,CRATO,EAD,TURNO LIVRE,Especializado em monitorizar e melhorar os processos industriais ou de serviços para garantir que os produtos finais atendam aos padrões internacionais (como normas ISO) e às exigências dos clientes.,https://www.unip.br/cursos/graduacao/tecnologicos/gestao_qualidade.aspx,Negócios & Gestão
GESTÃO DA TECNOLOGIA DA INFORMAÇÃO,5,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"LIDERANÇA DE EQUIPES DE TI, INFRAESTRUTURA DIGITAL E GOVERNANÇA TECNOLÓGICA","7.200,00",N/A,CRATO,EAD,TURNO LIVRE,"Une a tecnologia aos negócios. O profissional gerencia os recursos de TI de uma empresa (infraestrutura, equipas, softwares) para que eles apoiem os objetivos estratégicos da organização.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_tecnologia_informacao.aspx,Tecnologia & TI
GESTÃO DE NEGÓCIOS IMOBILIÁRIOS,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"COMPRA, VENDA, LOCAÇÃO E ADMINISTRAÇÃO DE IMÓVEIS E CONDOMÍNIOS","3.742,00",N/A,CRATO,EAD,TURNO LIVRE,"Capacita para atuar no mercado imobiliário, abordando compra, venda, locação, avaliação de imóveis, incorporação e administração de condomínios.",https://www.unip.br/cursos/graduacao/tecnologicos/negocios_imobiliarios.aspx,Negócios & Gestão
GESTÃO DE RECURSOS HUMANOS,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"RECRUTAMENTO, SELEÇÃO, TREINAMENTO, DEPARTAMENTO PESSOAL E PLANO DE CARREIRA","9.929,00",N/A,CRATO,EAD,TURNO LIVRE,"Focado na gestão de pessoas dentro das empresas. Envolve processos de recrutamento, seleção, formação, planos de carreira, departamento de pessoal e motivação de equipas.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_recursos_humanos.aspx,Negócios & Gestão
GESTÃO DE SEGURANÇA PRIVADA,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"PLANEJAMENTO DE SEGURANÇA PATRIMONIAL, VIGILÂNCIA ELETRÔNICA E TRANSPORTE DE VALORES","9.239,00",N/A,CRATO,EAD,TURNO LIVRE,"Planeamento e coordenação de sistemas de segurança para proteger o património físico e as pessoas em empresas, eventos, condomínios ou indústrias.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_seguranca_privada.aspx,Negócios & Gestão
"GESTÃO DE SERVIÇOS JURÍDICOS, NOTARIAIS E DE REGISTRO",4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"APOIO ADMINISTRATIVO EM CARTÓRIOS, ESCRITÓRIOS DE ADVOCACIA E SETORES JURÍDICOS","3.800,00",N/A,CRATO,EAD,TURNO LIVRE,"Prepara profissionais para atuar no suporte administrativo de escritórios de advocacia, cartórios, tabelionatos e setores jurídicos de empresas, lidando com documentação legal.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_servicos_juridicos_notariais_registro.aspx,Negócios & Gestão
GESTÃO DE AGRONEGÓCIO,6,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"ADMINISTRAÇÃO DE PROPRIEDADES RURAIS, CADEIA DE PRODUÇÃO AGRÍCOLA E COMERCIALIZAÇÃO","2.822,00",N/A,CRATO,EAD,TURNO LIVRE,"Administração voltada para a cadeia produtiva do campo. Aborda desde a produção agrícola/pecuária, passando pela logística de distribuição, até a comercialização de produtos rurais.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_agronegocio.aspx,Negócios & Gestão
GESTÃO FINANCEIRA,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"CONTROLE DE FLUXO DE CAIXA, FATURAMENTO, CAPTAÇÃO DE RECURSOS E ORÇAMENTO","8.722,00",N/A,CRATO,EAD,TURNO LIVRE,"Focado na saúde financeira das empresas. Ensina a controlar fluxos de caixa, analisar investimentos, captar recursos e planear o orçamento empresarial.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_financeira.aspx,Negócios & Gestão
GESTÃO PÚBLICA,4,N/A,VESTIBULAR ONLINE,TECNÓLOGO,N/A,"ADMINISTRAÇÃO DE ÓRGÃOS PÚBLICOS, LICETAÇÕES E EXECUÇÃO DE POLÍTICAS PÚBLICAS","7.269,00",N/A,CRATO,EAD,TURNO LIVRE,"Administração voltada especificamente para órgãos do governo (municipais, estaduais ou federais) e ONGs, focando em licitações, orçamento público e eficiência de serviços à população.",https://www.unip.br/cursos/graduacao/tecnologicos/gestao_publica.aspx,Negócios & Gestão
JORNALISMO,8,N/A,VESTIBULAR ONLINE,BACHARELADO,N/A,"REPORTAGEM, REDAÇÃO E ASSESSORIA DE IMPRENSA PARA TV, RÁDIO, PORTAIS E REDES SOCIAIS","4.625,00",N/A,CRATO,EAD,TURNO LIVRE,"Formação para a recolha, investigação, redação e difusão de notícias e informações através de meios de comunicação como TV, rádio, jornais impressos e portais digitais.",https://www.unip.br/cursos/graduacao/tradicionais/jornalismo.aspx,Humanas & Educação
LETRAS LÍNGUA INGLESA,8,N/A,VESTIBULAR ONLINE,LICENCIATURA,N/A,"ENSINO DE PORTUGUÊS, INGLÊS (ESCOLAS REGULARES OU DE IDIOMAS), TRADUÇÃO E REVISÃO","2.586,00",N/A,CRATO,EAD,TURNO LIVRE,"Licenciatura voltada para o domínio e ensino da língua inglesa e portuguesa e respetivas literaturas. Prepara professores para o ensino básico, escolas de idiomas ou profissionais de tradução.",https://www.unip.br/cursos/graduacao/tradicionais/letras_portugues_ingles.aspx,Humanas & Educação
